name,cpg,brandCode,category,topBrand,categoryCode,_id,barcode,cpg_ref,cpg_id
SIR KENSINGTON'S,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",SIR KENSINGTON'S,Condiments & Sauces,,,5d2f6b82a3a01810a2174aed,511111704867,Cogs,5332f5f6e4b03c9a25efd0b4
test brand @1604946244133,"{'$ref': 'Cogs', '$id': {'$oid': '5fa98944be37ce239d1070fd'}}",,Baking,False,BAKING,5fa98944be37ce239d1070fe,511111217251,Cogs,5fa98944be37ce239d1070fd
Crispix,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",,,,,5332f9f2e4b03c9a25efd1c8,511111803232,Cpgs,5332f5f2e4b03c9a25efd0aa
NessAlla,"{'$ref': 'Cpgs', '$id': {'$oid': '55a41b4be4b0d0a65b3692ee'}}",,,,,55a41b55e4b0d0a65b3692ef,511111502708,Cpgs,55a41b4be4b0d0a65b3692ee
Doritos,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",DORITOS,Snacks,True,,5887a372e4b02187f85cdad9,511111001119,Cogs,5332f5fbe4b03c9a25efd0ba
A.1.,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",A.1.,Condiments & Sauces,True,,57ed0697e4b072ac2294b8f2,511111101895,Cogs,559c2234e4b06aca36af13c6
RC Cola,"{'$ref': 'Cpgs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",,,,,55b630c2e4b0d8e685c1421d,511111002642,Cpgs,55b62995e4b0d8e685c14213
Amp,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",,,,,5332f605e4b03c9a25efd0c0,511111403913,Cogs,5332f5fbe4b03c9a25efd0ba
test brand @1598290603587,"{'$ref': 'Cogs', '$id': {'$oid': '5f43faabbe37ce3ef3fd3714'}}",TEST BRANDCODE @1598290603587,Baking,,BAKING,5f43faabbe37ce3ef3fd3716,511111315728,Cogs,5f43faabbe37ce3ef3fd3714
Looza Fruit Juices,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",LOOZA JUICES,Beverages,,,5d66de49a3a018093ab3472a,511111505433,Cogs,5332f5fbe4b03c9a25efd0ba
Aleve®,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",ALEVE,Health & Wellness,,,5da605dc1dda2c3e1416ae83,511111005582,Cogs,5d9b4f591dda2c6225a284aa
Soft-Sheen Carson - Hair Color,"{'$ref': 'Cogs', '$id': {'$oid': '5e28b81cee7f2d697e835bcd'}}",SOFT-SHEEN CARSON - HAIR COLOR,Beauty,,,5e3876bfee7f2d697e835bd3,511111613961,Cogs,5e28b81cee7f2d697e835bcd
test brand @1604946245498,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",TEST BRANDCODE @1604946245499,Candy & Sweets,False,CANDY_AND_SWEETS,5fa98945be37ce239d107104,511111217305,Cogs,5332fa12e4b03c9a25efd1e7
Kraft Caramels,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",,Baking,False,,57ebc11fe4b0ac389136a33a,511111802075,Cogs,559c2234e4b06aca36af13c6
